JetBrains.ReSharper.UnitTestProvider.Xunit.dll	JetBrains.ReSharper.UnitTestProvider.Xunit.Resources.Strings	14	1	JetBrains	ui	0
NuGet.Common.dll	NuGet.Common.Strings	14	0	third-party	third-party	0
System.Windows.Interactivity.dll	ExceptionStringTable	13	0	third-party	third-party	0
JetBrains.ReSharper.Intentions.Web.dll	JetBrains.ReSharper.Intentions.Resources.Strings11	13	1	JetBrains	ui	0
JetBrains.ReSharper.UnitTesting.MSTest.Provider.dll	JetBrains.ReSharper.UnitTesting.MSTest.Provider.Resources.Strings	13	1	JetBrains	ui	0
NuGet.Credentials.dll	NuGet.Credentials.Resources	13	0	third-party	third-party	0
NuGet.Resolver.dll	NuGet.Resolver.Strings	13	0	third-party	third-party	0
JetBrains.ReSharper.Feature.Services.ExternalSources.dll	JetBrains.ReSharper.Feature.Services.ExternalSources.Resources.Strings	12	1	JetBrains	ui	0
Microsoft.Owin.Hosting.dll	Microsoft.Owin.Hosting.App_Packages.Owin.Loader.LoaderResources	12	0	third-party	third-party	0
ActiproSoftware.PropertyGrid.Wpf.dll	ActiproSoftware.Products.PropertyGrid.Resources	11	0	third-party	third-party	0
DevExpress.Data.v7.1.dll	DevExpress.Data.Db.Messages	11	0	third-party	third-party	0
JetBrains.Common.SystemModules.Core.dll	JetBrains.Common.SystemModulesOptionsManager.Resources.Strings	11	1	JetBrains	ui	0
JetBrains.dotTrace.Ide.Core.UnitTesting.dll	JetBrains.dotTrace.Ide.Core.UnitTesting.Resources.Strings	11	1	JetBrains	ui	0
JetBrains.Profiler.InternalLauncher.dll	JetBrains.Profiler.InternalLauncher.Resources.Strings	11	1	JetBrains	ui	0
JetBrains.Platform.Standalone.TabWell.dll	JetBrains.Standalone.TabWell.Resources.Strings	11	1	JetBrains	ui	0
Microsoft.CodeAnalysis.CSharp.Workspaces.dll	Microsoft.CodeAnalysis.CSharp.CSharpCompilerExtensionsResources	11	0	third-party	third-party	0
Microsoft.Owin.dll	Microsoft.Owin.Resources	11	0	third-party	third-party	0
Microsoft.CodeAnalysis.VisualBasic.Features.dll	VisualBasicCodeFixesResources	11	0	third-party	third-party	0
JetBrains.DotTrace.Ide.Core.Common.dll	JetBrains.DotTrace.Ide.Core.Common.Resources.Strings	10	1	JetBrains	ui	0
JetBrains.PsiFeatures.VisualStudio.SinceVs12.dll	JetBrains.PsiFeatures.VisualStudio.SinceVs12.Resources.Strings	10	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.osrv	10	0	JetBrains	data/legal	0
Microsoft.CodeAnalysis.LanguageServer.Protocol.dll	Microsoft.CodeAnalysis.LanguageServer.LanguageServerProtocolResources	10	0	third-party	third-party	0
JetBrains.Common.SystemModules.Core.dll	JetBrains.Common.SystemModulesOptionsManager.Resources.SystemModulesConstants	9	1	JetBrains	ui	0
JetBrains.Etw.dll	JetBrains.Etw.Resources.UITexts	9	1	JetBrains	ui	0
JetBrains.Profiler.Configurations.dll	JetBrains.Profiler.Configurations.Resources.Strings	9	1	JetBrains	ui	0
JetBrains.ReSharper.ExternalServices.Core.dll	JetBrains.ReSharper.ExternalServices.Core.Resources.ExternalServicesCoreStrings	9	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Resx.dll	JetBrains.ReSharper.Psi.Resx.Resources.Strings	9	1	JetBrains	ui	0
JetBrains.ReSharper.ReSharperTutorials.dll	JetBrains.ReSharper.ReSharperTutorials.Resources.Strings	9	1	JetBrains	ui	0
Microsoft.Owin.StaticFiles.dll	Microsoft.Owin.StaticFiles.Resources	9	0	third-party	third-party	0
System.Reactive.dll	System.Reactive.Strings_Core	9	0	third-party	third-party	0
JetBrains.ReSharper.Features.Navigation.VB.dll	JetBrains.ReSharper.Features.Navigation.VB.Resources.Strings	8	1	JetBrains	ui	0
JetBrains.ReSharper.Resources.dll	JetBrains.ReSharper.Resources.Resources.Strings	8	1	JetBrains	ui	0
JetBrains.ReSharper.UnitTestRunner.dotMemoryUnit.dll	JetBrains.ReSharper.UnitTestRunner.dotMemoryUnit.Resources.Strings	8	1	JetBrains	ui	0
Microsoft.TestPlatform.CommunicationUtilities.dll	Microsoft.VisualStudio.TestPlatform.CommunicationUtilities.Resources.Resources	8	0	third-party	third-party	0
NuGet.Frameworks.dll	NuGet.Frameworks.Strings	8	0	third-party	third-party	0
